book_order,book,chapter,verse,reference,syriac
1,Psalms,1,1,Psalms 1:1,ܛܘܒܘܗܝ ܠܓܒܪܐ ܕܒܐܘܪܚܐ ܕܥܘ̈ܠܐ ܠܐ ܗܠܟ ܘܒܪܥܝܢܐ ܕܚ̈ܛܝܐ ܠܐ ܩܡ ܘܥܠ ܡܘܬܒܐ ܕܡܡܝ̈ܩܢܐ ܠܐ ܝܬܒ
1,Psalms,1,2,Psalms 1:2,ܐܠܐ ܒܢܡܘܣܗ ܕܡܪܝܐ ܨܒܝܢܗ ܘܒܢܡܘܣܗ ܢܬܗܓܐ ܐܝܡܡܐ ܘܠܠܝܐ
1,Psalms,1,3,Psalms 1:3,ܢܗܘܐ ܐܝܟ ܐܝܠܢܐ ܕܢܨܝܒ ܥܠ ܬܦܐ ܕܡ̈ܝܐ ܕܦܐܪ̈ܘܗܝ ܝܗܒ ܒܙܒܢܗ ܘܛܪ̈ܦܘܗܝ ܠܐ ܢܬܪ̈ܝܢ ܟܠ ܕܥܒܕ ܡܫܠܡ
1,Psalms,1,4,Psalms 1:4,ܠܐ ܗܟܢܐ ܪ̈ܫܝܥܐ ܐܠܐ ܐܝܟ ܥܘܪܐ ܕܕܪܝܐ ܪܘܚܐ
1,Psalms,1,5,Psalms 1:5,ܡܛܠ ܗܢܐ ܠܐ ܢܩܘܡܘܢ ܪ̈ܫܝܥܐ ܒܕܝܢܐ ܐܦ ܠܐ ܚ̈ܛܝܐ ܒܟܢܘܫܬܐ ܕܙܕܝ̈ܩܐ
1,Psalms,1,6,Psalms 1:6,ܡܛܠ ܕܝܕܥ ܗܘ ܡܪܝܐ ܐܘܪܚܐ ܕܙܕܝܩ̈ܐ ܘܐܘܪܚܐ ܕܪ̈ܫܝܥܐ ܬܐܒܕ
1,Psalms,2,1,Psalms 2:1,ܠܡܢܐ ܪܓܫܘ ܥܡ̈ܡܐ ܘܐ̈ܡܘܬܐ ܪ̈ܢܝ ܣܪܝܩܘܬܐ
1,Psalms,2,2,Psalms 2:2,ܩܡܘ ܡ̈ܠܟܐ ܕܐܪܥܐ ܘܫ̈ܠܝܛܢܐ. ܘܐܬܡܠܟܘ ܐܝܟ ܚܕܐ ܥܠ ܡܪܝܐ ܘܥܠ ܡܫܝܚܗ
1,Psalms,2,3,Psalms 2:3,ܕܢܦܣܩ ܚܢܩ̈ܝܗܘܢ ܘܢܫܪܐ ܡܢܢ ܢܝܪܗܘܢ
1,Psalms,2,4,Psalms 2:4,ܕܝܬܒ ܒܫܡܝܐ ܢܓܚܟ ܘܡܪܝܐ ܢܡܝܩ ܒܗܘܢ
1,Psalms,2,5,Psalms 2:5,ܗܝ ܕܝܢ ܢܡܠܠ ܥܠܝܗܘܢ ܒܪܘܓܙܗ ܘܒܚܡܬܗ ܢܕܠܚ ܐܢܘܢ
1,Psalms,2,6,Psalms 2:6,ܐܢܐ ܐܩܝܡܬ ܡܠܟܝ ܥܠ ܨܗܝܘܢ ܛܘܪܐ ܕܩܘܕܫܝ
1,Psalms,2,7,Psalms 2:7,ܕܢܫܬܥܐ ܥܠ ܩܝܡܝ ܡܪܝܐ ܐܡܪ ܠܝ ܕܒܪܝ ܐܢܬ ܘܐܢܐ ܝܘܡܢܐ ܝܠܕܬܟ
1,Psalms,2,8,Psalms 2:8,ܫܐܠ ܡܢܝ ܘܐܬܠ ܠܟ ܥܡ̈ܡܐ ܠܝܪܬܘܬܟ ܘܐܘܚ̈ܕܢܝܟ ܥܒܪ̈ܝܗ̇ ܕܐܪܥܐ
1,Psalms,2,9,Psalms 2:9,ܬܪܥܐ ܐܢܘܢ ܒܫܒܛܐ ܕܦܪܙܠܐ ܘܐܝܟ ܡܐ̈ܢܝ ܦܚܪܐ ܬܢܦܨ ܐܢܘܢ
1,Psalms,2,10,Psalms 2:10,ܗܫܐ ܡ̈ܠܟܐ ܐܣܬܟܠܘ ܘܐܬܪܕܘ ܕܝ̈ܢܐ ܕܐܪܥܐ
1,Psalms,2,11,Psalms 2:11,ܦܠܘܚܘ ܠܡܪܝܐ ܒܕܚܠܬܐ ܘܐܘܚܕܘܢܝܗܝ ܒܪܬܝܬܐ
1,Psalms,2,12,Psalms 2:12,ܐܚܘܕ ܡܪܕܘܬܐ ܕܠܐ ܢܪܓܙ ܡܪܝܐ ܘܬܐܒܕܘܢ ܡܢ ܐܘܪܚܗ ܡܛܠ ܕܥܕ ܩܠܝܠ ܝܩܕ ܪܘܓܙܗ ܘܛܘܒܝܗܘܢ ܠܟܠ ܕܬܟܝܠܝܢ ܥܠܘܗܝ
1,Psalms,3,2,Psalms 3:2,ܡܪܝܐ ܡܐ ܣܓܝܘ ܐ̈ܠܘܨܝ ܣ̈ܓܝܐܐ ܕܩܡܘ ܥܠܝ
1,Psalms,3,3,Psalms 3:3,ܣ̈ܓܝܐܐ ܕܐܡܪܝܢ ܠܗ̇ ܠܢܦܫܝ ܕܠܝܬ ܠܟܝ ܦܘܪܩܢܐ ܒܐܠܗܟܝ
1,Psalms,3,4,Psalms 3:4,ܐܢܬ ܡܪܝܐ ܡܣܝܥܢܝ ܘܐܝܩܪܝ ܘܡܪܡܪܡܢܗ ܕܪܝܫܝ
1,Psalms,3,5,Psalms 3:5,ܒܩܠܝ ܠܡܪܝܐ ܩܪܝܬ ܘܥܢܢܝ ܡܢ ܛܘܪܗ ܩܕܝܫܐ
1,Psalms,3,6,Psalms 3:6,ܐܢܐ ܫܟܒܬ ܘܕܡܟܬ ܘܐܬܬܥܝܪܬ ܡܛܘܠ ܕܡܪܝܐ ܣܡܟܢܝ
1,Psalms,3,7,Psalms 3:7,ܠܐ ܐܕܚܠ ܡܢ ܪ̈ܒܘܬܗ ܕܥܡܐ ܕܚܕܪܘܢܝ ܘܣܡܘ ܥܠܝ
1,Psalms,3,8,Psalms 3:8,ܩܘܡ ܡܪܝܐ ܐܠܗܝ ܘܦܪܘܩܝܢܝ ܡܛܠ ܕܐܢܬ ܡܚܝܬ ܠܟܘܠܗܘܢ ܒ̈ܥܠܕܒܒܝ ܥܠ ܦܟܝ̈ܗܘܢ ܘܫ̈ܢܐ ܕܪ̈ܫܝܥܐ ܬܒܪܬ
1,Psalms,3,9,Psalms 3:9,ܕܡܪܝܐ ܗܘ ܦܘܪܩܢܐ ܘܥܠ ܥܡܟ ܒܘܪܟܬܟ ܠܥܠܡ
1,Psalms,4,2,Psalms 4:2,ܟܕ ܩܪܝܬܟ ܥܢܝܬܢܝ ܐܠܗܝ ܘܦܪܘܩܐ ܕܙܕܝܩܘܬܝ ܒܐ̈ܘܠܨܢܝ ܐܪܘܚܬ ܠܝ ܪܚܡ ܥܠܝ ܘܫܡܥ ܨܠܘܬܝ
1,Psalms,4,3,Psalms 4:3,ܒ̈ܢܝ ܐܢܫܐ ܥܕܡܐ ܠܐܡܬܝ ܐܝܩܪܝ ܡܚܦܝܢ ܐܢܬܘܢ ܘܪܚܡܝܢ ܐܢܬܘܢ ܣܪܝܩܘܬܐ ܘܒܥܝܢ ܐܢܬܘܢ ܕܓܠܘܬܐ ܠܥܠܡܝܢ
